,date,org,tld,ccs,bcced,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,updates,personal,promotions,forums,purchases,travel,spam,social
68,"Mon, 22 Jun 2015 16:40:05 +0000",coursera,org,0,0,multipart/alternative,17,92,1,0,45.0,60605,1,1,0,0,0,0,0,0
69,"Wed, 5 Feb 2020 12:19:18 -0800",deeplearning,ai,0,0,multipart/alternative,26,124,1,1,104.0,116530,1,0,0,0,0,0,0,0
70,"Sat, 30 Dec 2017 10:01:17 +0530",statebankrewardz,com,0,0,text/html,23,47,0,0,76.0,22000,0,1,1,0,0,0,0,0
71,"Sat, 2 Jun 2018 17:29:07 +0000",,,0,0,text/html,8,18,0,0,56.0,27096,1,1,0,0,1,0,0,0
72,"Tue, 15 Sep 2015 11:05:22 -0400",,,0,0,multipart/alternative,0,10,1,0,83.0,4335,1,1,0,0,0,0,0,0
73,"Wed, 16 Nov 2016 00:22:29 +0530",iiitd,ac.in,5,0,multipart/alternative,4,17,1,0,44.0,17849,0,1,0,0,0,0,0,0
74,"Fri, 22 Nov 2019 17:44:17 +0530",sbi,co.in,0,0,text/html,1,1,0,0,34.0,716,1,1,0,0,0,0,0,0
75,"Mon, 22 May 2017 17:27:34 +0530",iiitd,ac.in,0,0,multipart/alternative,0,0,1,0,44.0,8418,0,1,0,0,0,0,0,0
76,"Fri, 14 Jun 2019 11:07:23 +0200",iiitd,ac.in,0,0,multipart/related,0,0,0,0,11.0,253369,0,1,0,0,0,0,0,0
77,"Tue, 28 Apr 2020 07:25:40 -0700",google,com,0,0,text/html,3,14,1,0,36.0,4874,1,0,0,0,0,0,0,0
78,"Mon, 25 Sep 2017 07:08:54 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,9,35,0,0,43.0,22785,0,1,0,0,0,0,0,1
79,"Sat, 19 Aug 2017 14:48:33 +0530",iiitd,ac.in,6,0,text/plain,0,0,1,0,21.0,173,0,1,0,1,0,0,0,0
80,"Tue, 9 Jan 2018 11:39:55 -0600 (CST)",nvidia,com,0,0,multipart/alternative,16,49,0,1,37.0,62346,1,1,1,0,0,0,0,0
81,"Thu, 11 Feb 2016 03:21:54 -0600 (CST)",magento,com,0,0,multipart/alternative,7,30,0,0,110.0,15074,0,1,1,0,0,0,0,0
82,"Sat, 2 Sep 2017 14:28:45 -0700",mail,instagram.com,0,0,text/html,1,11,0,0,49.0,8293,0,1,0,0,0,0,0,1
83,"Wed, 08 Jan 2020 06:29:38 +0000",quora,com,0,0,multipart/alternative,12,114,1,1,60.0,108856,0,0,0,0,0,0,0,1
84,"Thu, 6 Apr 2017 17:31:38 +0530",gmail,com,0,0,multipart/alternative,0,26,1,0,24.0,12870,0,1,0,0,0,0,0,0
85,"Tue, 9 May 2017 13:45:32 +0530",iiitd,ac.in,1,0,multipart/alternative,0,12,1,0,41.0,6508,0,1,0,1,0,0,0,0
86,"Thu, 14 Jun 2018 16:39:18 +0530",iiitd,ac.in,0,0,multipart/alternative,0,4,0,0,3.0,3008,0,1,0,0,0,0,0,0
87,"Fri, 10 Feb 2017 08:14:28 +0000",mail,paypal.com,0,0,multipart/alternative,26,185,1,0,59.0,124731,0,1,1,0,0,0,0,0
88,10 Sep 2019 13:38:56 +0100,vfsglobal,com,0,0,text/html,0,0,1,0,42.0,241,1,0,0,0,0,0,0,0
89,"Thu, 26 May 2016 09:43:03 +0000",paytmemail,com,0,0,multipart/alternative,30,76,0,0,36.0,19298,0,1,1,0,0,0,0,0
90,"Fri, 12 Feb 2016 08:01:00 +0000 (GMT)",ndtvecommerce,com,0,0,multipart/alternative,17,78,1,0,49.0,26357,0,1,1,0,0,0,0,0
91,"Thu, 06 Sep 2018 14:29:07 +0000",quora,com,0,0,multipart/alternative,14,110,1,1,70.0,104372,0,1,0,0,0,0,0,1
92,14 Jul 2014 11:27:54 +0530,,,0,0,text/plain,0,0,1,1,44.0,3339,1,1,0,0,0,0,0,0
93,"Sat, 21 Dec 2019 05:23:39 +0000",google,com,0,0,text/plain,0,0,1,0,84.0,869,1,0,0,0,0,0,0,0
94,"Fri, 20 May 2016 00:29:23 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,39.0,4,0,1,1,0,0,0,0,0
95,"Mon, 4 Feb 2019 15:11:23 +0000",se,com,0,0,multipart/related,0,36,0,0,31.0,35240,0,1,0,0,0,0,0,0
96,"Wed, 29 Jun 2016 23:00:49 -0500 (CDT)",amazon,com,0,0,multipart/alternative,9,40,1,0,70.0,37681,0,1,1,0,0,0,0,0
97,"Tue, 18 Aug 2015 17:14:08 +0530",iiitd,ac.in,2,0,multipart/related,0,0,0,0,144.0,49030,0,1,0,1,0,0,0,0
98,"Sun, 25 Sep 2016 22:48:50 +0530",iiitd,ac.in,0,0,multipart/mixed,3,0,0,0,0.0,1040,0,1,0,0,0,0,0,0
99,"Thu, 09 Apr 2020 10:18:02 +0000",standupalice,com,0,0,text/html,1,6,0,0,39.0,15103,0,0,0,1,0,0,0,0
100,"Tue, 22 Oct 2019 17:42:40 +0200",gmail,com,0,0,multipart/alternative,0,8,1,0,25.0,6006,0,1,0,0,0,0,0,0
101,"Tue, 17 Nov 2015 06:46:25 +0530",iiitd,ac.in,1,0,text/plain,0,1,1,0,106.0,1254,0,1,0,1,0,0,0,0
102,"Mon, 13 Jun 2016 00:39:59 +0000",amazon,in,0,0,multipart/mixed,0,0,0,0,60.0,4,0,1,1,0,0,0,0,0
103,"Sat, 23 Apr 2016 18:05:24 +0000",youtube,com,0,0,multipart/alternative,9,44,0,0,83.0,39153,0,1,0,0,0,0,0,1
104,"Thu, 16 Jul 2020 04:38:04 +0000",quora,com,0,0,multipart/alternative,11,122,1,0,70.0,112818,0,0,0,0,0,0,0,1
105,"Tue, 21 Aug 2018 11:03:13 +0000",mailer,netflix.com,0,0,multipart/alternative,6,31,0,0,34.0,26740,1,1,0,0,0,0,0,0
106,"Mon, 29 Dec 2014 17:40:33 -0800",email,social.saavn.com,0,0,multipart/alternative,3,24,0,0,38.0,12142,1,1,0,0,0,0,0,0
107,"Mon, 6 Mar 2017 13:49:50 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,16,66,0,1,35.0,65035,0,1,0,0,0,0,0,1
108,"Wed, 4 Dec 2019 19:56:43 +0530",gmail,com,1,0,multipart/mixed,0,7,0,0,91.0,295439,0,0,0,1,0,0,0,0
109,"Thu, 13 Aug 2020 02:15:19 -0700",google,com,0,0,text/html,3,14,0,0,38.0,4859,1,0,0,0,0,0,0,0
110,"Tue, 9 May 2017 22:03:25 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,7,26,0,0,43.0,21049,0,1,0,0,0,0,0,1
111,"Wed, 4 Oct 2017 01:08:37 +0000",topcoder,com,0,0,multipart/alternative,1,23,1,0,94.0,34245,1,1,0,0,0,0,0,0
112,"Mon, 29 Jan 2018 10:58:29 +0000",twitter,com,0,0,multipart/alternative,10,49,1,0,55.0,28364,0,1,0,0,0,0,0,1
113,"Wed, 19 Jun 2019 12:00:42 +0000",signalprocessingsociety,org,0,0,multipart/alternative,10,59,1,0,134.0,84873,0,1,1,0,0,0,0,0
114,"Mon, 14 Sep 2015 17:33:21 +0530",iiitd,ac.in,0,0,multipart/mixed,0,3,1,0,104.0,1056656,0,1,0,1,0,0,0,0
115,"Sat, 03 Aug 2019 04:15:07 -0700",google,com,0,0,text/html,2,12,0,0,28.0,4359,1,0,0,0,0,0,0,0
116,"Tue, 27 May 2014 11:46:12 +0530",aptech,ac.in,0,0,multipart/alternative,0,1,0,0,39.0,152,1,1,0,0,0,0,0,0
117,"Thu, 30 Mar 2017 21:52:39 +0530",iiitd,ac.in,5,0,multipart/alternative,1,5,1,0,28.0,8075,0,1,0,1,0,0,0,0
118,21 Apr 2020 14:08:41 -0700,amnh,org,0,0,multipart/alternative,21,62,1,1,34.0,70998,0,0,1,0,0,0,0,0
119,"Wed, 26 Apr 2017 10:32:23 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,4,26,0,0,29.0,22658,0,1,0,0,0,0,0,1
120,"Sat, 6 Aug 2016 13:54:00 +0530",iiitd,ac.in,0,0,multipart/alternative,0,1,1,0,21.0,937,0,1,0,1,0,0,0,0
121,"Thu, 06 Aug 2020 16:52:52 -0700",kaggle,com,0,0,multipart/alternative,1,9,1,1,50.0,11503,1,0,0,0,0,0,0,0
122,"Mon, 07 Nov 2016 11:02:12 +0000",youtube,com,0,0,multipart/alternative,9,44,1,0,85.0,39192,0,1,0,0,0,0,0,1
123,"Tue, 21 Mar 2017 10:38:22 +0530",iiitd,ac.in,3,0,multipart/alternative,0,0,1,0,38.0,9792,0,1,0,1,0,0,0,0
124,"Mon, 23 Oct 2017 10:48:01 +0530",iiitd,ac.in,1,0,multipart/alternative,0,1,0,0,28.0,2376,0,1,0,1,0,0,0,0
125,"Fri, 4 Sep 2015 12:01:58 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,7,22,1,0,23.0,37117,0,1,0,0,0,0,0,1
126,"Wed, 30 Aug 2017 18:43:57 +0530",mech,ssn.edu.in,0,0,multipart/alternative,0,47,1,0,17.0,21431,0,1,0,0,0,0,0,0
127,"Fri, 06 Dec 2019 09:07:22 -0500",ieeer8,org,0,0,multipart/alternative,3,22,1,1,76.0,6544,1,0,0,0,0,0,0,0
128,"Mon, 17 Jul 2017 22:51:05 +0000",twitter,com,0,0,multipart/alternative,17,75,0,1,36.0,43131,0,1,0,0,0,0,0,1
129,"Thu, 31 Oct 2019 00:29:33 +0000",academia-mail,com,0,0,multipart/alternative,3,28,1,0,47.0,46017,1,1,0,0,0,0,0,0
130,"Sun, 8 Dec 2019 08:20:48 -0800",facebookmail,com,0,0,multipart/alternative,4,18,0,0,32.0,14868,0,1,0,0,0,0,0,0
131,"Thu, 14 Nov 2019 19:50:46 +0000",amazon,fr,0,0,multipart/alternative,0,4,0,0,38.0,2537,1,1,0,0,0,0,0,0
132,"Thu, 07 Jun 2018 06:42:50 -0700",github,com,1,0,multipart/alternative,3,18,0,0,69.0,3300,0,1,0,1,0,0,0,0
133,"Tue, 20 Aug 2019 17:21:19 -0700",sbi,co.in,0,0,text/html,1,1,0,0,45.0,691,0,1,1,0,0,0,0,0
134,"Tue, 9 Aug 2016 21:57:29 +0530",iiitd,ac.in,5,0,multipart/alternative,0,0,1,0,42.0,2745,0,1,0,1,0,0,0,0
135,"Wed, 3 Jun 2015 07:02:16 +0000",coursera,org,0,0,multipart/alternative,6,29,0,1,57.0,20764,1,1,0,0,0,0,0,0
136,"Mon, 04 Mar 2019 21:49:21 +0000",discuss,pytorch.org,0,0,multipart/alternative,55,105,0,0,24.0,71594,1,1,0,0,0,0,0,0
137,"Wed, 25 Jul 2018 17:27:41 +0000",google,com,0,0,multipart/alternative,4,12,0,0,10.0,5791,1,1,0,0,0,0,0,0
138,"Mon, 22 May 2017 18:11:30 +0530",in,ibm.com,1,0,multipart/mixed,0,7,1,0,59.0,6280777,0,1,0,0,0,0,0,0
139,"Tue, 21 Jul 2020 10:29:02 +0000",quora,com,0,0,multipart/alternative,8,114,0,0,105.0,91645,0,0,0,0,0,0,0,1
140,"Thu, 7 Jul 2016 21:55:38 +0530",iiitd,ac.in,3,0,multipart/mixed,0,0,0,0,15.0,37495,0,1,0,1,0,0,0,0
141,"Fri, 09 Mar 2018 17:15:38 +0000",kaggle,com,0,0,multipart/alternative,0,16,0,0,30.0,7918,1,1,0,0,0,0,0,0
142,"Sun, 17 Mar 2019 18:32:24 +0000",centralesupelec,fr,0,0,multipart/mixed,0,5,0,0,93.0,239241,0,1,0,1,0,0,0,0
143,"Sat, 12 Mar 2016 11:39:51 +0530",iiitd,ac.in,7,0,multipart/alternative,0,3,1,0,46.0,2406,0,1,0,1,0,0,0,0
144,"Thu, 05 Nov 2015 05:30:24 +0000",usebackpack,com,0,0,multipart/alternative,3,22,0,0,35.0,30753,1,1,0,0,0,0,0,0
145,"Tue, 23 Aug 2016 17:41:05 -0700",email,nvidia.com,0,0,text/html,7,30,0,0,42.0,32563,0,1,1,0,0,0,0,0
146,"Thu, 16 Apr 2015 23:43:24 +0000 (UTC)",quora,com,0,0,multipart/alternative,0,10,1,0,335.0,4589,0,1,0,0,0,0,0,1
147,"Fri, 31 Aug 2018 07:37:58 +0200 (CEST)",updates,bookmyshow.com,0,0,text/html,38,92,0,0,32.0,57924,1,1,1,0,0,0,0,0
148,"Wed, 18 Apr 2018 19:37:09 +0530",mails,travel-makemytrip.com,0,0,multipart/alternative,7,32,0,0,32.0,6095,0,1,1,0,0,0,0,0
149,13 Feb 2020 06:10:14 -0800,amnh,org,0,0,multipart/alternative,35,115,1,0,20.0,100204,0,0,1,0,0,0,0,0
150,"Wed, 17 Jul 2019 09:45:30 +0200",iiitd,ac.in,1,0,multipart/alternative,0,6,1,0,23.0,3330,0,1,0,0,0,0,0,0
151,"Mon, 18 Apr 2016 07:06:02 +0000 (UTC)",linkedin,com,0,0,multipart/alternative,13,39,0,0,54.0,32041,0,1,0,0,0,0,0,1
152,"Tue, 20 Jun 2017 04:19:08 -0400",usief,org.in,0,0,multipart/alternative,12,49,1,0,50.0,179345,1,0,0,0,0,0,0,0
153,"Tue, 01 Sep 2020 04:10:41 +0000 (UTC)",splitwise,com,0,0,multipart/alternative,7,35,0,0,23.0,41702,1,0,0,0,0,0,0,0
154,"Fri, 26 Jul 2013 14:31:00 +0000",coursera,org,0,0,multipart/alternative,4,26,0,0,40.0,11552,1,1,0,0,0,0,0,0
155,"Tue, 14 Mar 2017 12:55:10 -0700 (PDT)",quora,com,0,0,multipart/alternative,18,114,1,1,49.0,98000,0,1,0,0,0,0,0,1
156,"Mon, 17 Sep 2018 11:15:56 -0500 (CDT)",nvidia,com,0,0,multipart/alternative,24,90,1,0,35.0,81915,0,1,1,0,0,0,0,0
157,"Fri, 23 Aug 2013 12:42:50 -0500 (CDT)",freshdesk,com,0,0,multipart/alternative,2,21,0,0,64.0,7211,0,1,0,0,0,0,0,0
158,"Tue, 03 Jul 2018 16:55:56 -0600",messages,xoom.com,0,0,multipart/alternative,9,41,0,0,48.0,32130,1,1,0,0,0,0,0,0
159,"Fri, 8 Apr 2016 10:59:58 +0530",iiitd,ac.in,2,0,multipart/alternative,0,156,1,0,47.0,117215,0,1,0,1,0,0,0,0
160,"Fri, 7 Mar 2014 15:13:17 +0000",coursera,org,0,0,multipart/alternative,4,27,0,0,33.0,19406,1,1,0,0,0,0,0,0
161,"Sat, 21 Sep 2019 03:21:36 -0700",google,com,0,0,text/html,20,84,1,0,36.0,24460,1,0,0,0,0,0,0,0
162,"Tue, 7 Mar 2017 13:55:46 +0530",iiitd,ac.in,0,0,multipart/alternative,0,0,1,1,107.0,6982,0,1,0,1,0,0,0,0
163,"Tue, 30 May 2017 08:49:47 +0000",twitter,com,0,0,multipart/alternative,2,19,0,0,44.0,21114,0,1,0,0,0,0,0,0
164,"Mon, 13 Aug 2018 14:40:44 +0530",olacabs,com,1,0,multipart/alternative,6,45,0,0,60.0,69698,1,0,0,0,0,0,0,0
165,2 Jun 2019 01:26:25 +0200,,,0,0,text/html,0,1,1,0,92.0,4167,1,1,0,0,0,0,0,0
166,"Thu, 8 Oct 2020 03:43:08 +0530",sbi,co.in,0,0,multipart/mixed,0,0,0,0,57.0,4,1,0,0,0,0,0,0,0
167,"Mon, 15 May 2017 17:03:21 +0530 (IST)",sampark,gov.in,0,0,text/html,13,33,0,0,29.0,20426,0,1,1,0,0,0,0,0
168,"Fri, 30 Oct 2015 19:58:26 +0530",iiitd,ac.in,4,0,multipart/alternative,0,2,1,0,52.0,5134,0,1,0,1,0,0,0,0
169,"Sun, 11 Dec 2016 08:31:33 +0530",iiitd,ac.in,0,0,multipart/alternative,0,20,1,1,14.0,45221,0,1,0,0,0,0,0,0
170,"Sun, 08 Nov 2015 14:38:20 +0000",usebackpack,com,0,0,multipart/alternative,4,19,1,0,36.0,27578,1,1,0,0,0,0,0,0
171,"Fri, 22 Jun 2018 12:11:44 +0000 (UTC)",udacity,com,0,0,multipart/alternative,12,41,0,0,32.0,54663,0,1,1,0,0,0,0,0
172,"Sat, 9 Apr 2016 15:07:57 +0530",iiitd,ac.in,3,0,multipart/alternative,0,0,0,0,16.0,430,0,1,0,0,0,0,0,0
173,"Tue, 27 Feb 2018 16:41:47 -0500 (EST)",edx,org,0,0,multipart/alternative,24,80,0,0,30.0,86538,0,1,1,0,0,0,0,0
174,"Mon, 6 Jul 2020 10:57:43 -0500 (CDT)",planet,com,0,0,multipart/alternative,9,28,1,0,71.0,26819,0,0,1,0,0,0,0,0
175,"Tue, 14 Aug 2018 19:17:40 +0530",cromaretail,co.in,0,0,multipart/alternative,4,31,0,0,29.0,8360,0,0,1,0,0,0,0,0
176,"Sat, 3 Aug 2019 22:14:16 +0530",olamoney,com,0,0,multipart/alternative,80,98,0,0,80.0,36288,0,1,0,0,0,0,0,0
177,"Wed, 3 Aug 2016 19:03:33 +0000",coursera,org,0,0,multipart/alternative,6,26,0,0,28.0,26575,1,1,0,0,0,0,0,0
